list_name,name,label,hospital_district,hospital_location
hospital_names,other,Other,bhaktapur,bhaktapur_durbar_square
hospital_names,other,Other,bhaktapur,gathaghar
hospital_names,other,Other,bhaktapur,madhyapur_thimi
hospital_names,other,Other,bhaktapur,sallaghari
hospital_names,other,Other,bhaktapur,suryabinayak
hospital_names,other,Other,bhaktapur,thimi
hospital_names,other,Other,kathmandu,babarmahal
hospital_names,other,Other,kathmandu,balambu
hospital_names,other,Other,kathmandu,balkhu
hospital_names,other,Other,kathmandu,baneshwor
hospital_names,other,Other,kathmandu,bansbari
hospital_names,other,Other,kathmandu,basundhara
hospital_names,other,Other,kathmandu,bhimdhunga
hospital_names,other,Other,kathmandu,bouddha
hospital_names,other,Other,kathmandu,chabahil
hospital_names,other,Other,kathmandu,chhauni
hospital_names,other,Other,kathmandu,dhapasi
hospital_names,other,Other,kathmandu,jorpati
hospital_names,other,Other,kathmandu,kalanki
hospital_names,other,Other,kathmandu,kalimati
hospital_names,other,Other,kathmandu,kathmandu
hospital_names,other,Other,kathmandu,kirtipur
hospital_names,other,Other,kathmandu,maharajgunj
hospital_names,other,Other,kathmandu,mitrapark
hospital_names,other,Other,kathmandu,new_baneshwor
hospital_names,other,Other,kathmandu,pharping
hospital_names,other,Other,kathmandu,putalisadak
hospital_names,other,Other,kathmandu,sinamangal
hospital_names,other,Other,kathmandu,singhadurbar
hospital_names,other,Other,kathmandu,tinkune
hospital_names,other,Other,kathmandu,tripureshwor
hospital_names,other,Other,lalitpur,jawalakhel
hospital_names,other,Other,lalitpur,lagankhel
hospital_names,other,Other,lalitpur,sanepa
