list_name,name,label,hospital_district,hospital_location
hospital_names,Jiri Hospital,Jiri Hospital,Dolakha,Dolakha
hospital_names,Other,Other,Dolakha,Dolakha
hospital_names,"District hospital, Gorkha","District hospital, Gorkha",Gorkha,Gorkha_Municipality
hospital_names,Other,Other,Gorkha,Gorkha_Municipality
hospital_names,HAMS Hospital,HAMS Hospital,Kathmandu,Babarmahal
hospital_names,Other,Other,Kathmandu,Babarmahal
hospital_names,Nepal APF Hospital,Nepal APF Hospital,Kathmandu,Balambu
hospital_names,Other,Other,Kathmandu,Balambu
hospital_names,Shiva Jyoti Hospital,Shiva Jyoti Hospital,Kathmandu,Balkhu
hospital_names,Vayodha Hospital,Vayodha Hospital,Kathmandu,Balkhu
hospital_names,Other,Other,Kathmandu,Balkhu
hospital_names,Bharosa Hospital Pvt Ltd,Bharosa Hospital Pvt Ltd,Kathmandu,Baneshwor
hospital_names,Venus International Hospital,Venus International Hospital,Kathmandu,Baneshwor
hospital_names,Other,Other,Kathmandu,Baneshwor
hospital_names,National Institute of Neurological & Allied Sciences,National Institute of Neurological & Allied Sciences,Kathmandu,Bansbari
hospital_names,Other,Other,Kathmandu,Bansbari
hospital_names,Chirayu National Health & Research Center Pvt Ltd,Chirayu National Health & Research Center Pvt Ltd,Kathmandu,Basundhara
hospital_names,Kantipur General and Dental Hospital,Kantipur General and Dental Hospital,Kathmandu,Basundhara
hospital_names,Other,Other,Kathmandu,Basundhara
hospital_names,Bhimdhunga SHP,Bhimdhunga SHP,Kathmandu,Bhimdhunga
hospital_names,Other,Other,Kathmandu,Bhimdhunga
hospital_names,Stupa Community Hospital,Stupa Community Hospital,Kathmandu,Bouddha
hospital_names,Other,Other,Kathmandu,Bouddha
hospital_names,Helping Hands Community Hospital,Helping Hands Community Hospital,Kathmandu,Chabahil
hospital_names,Medicare National Hospital Pvt Ltd,Medicare National Hospital Pvt Ltd,Kathmandu,Chabahil
hospital_names,Om Hospital & Research Center,Om Hospital & Research Center,Kathmandu,Chabahil
hospital_names,Other,Other,Kathmandu,Chabahil
hospital_names,Army Israeli Camp,Army Israeli Camp,Kathmandu,Chhauni
hospital_names,Nepal Army Hospital,Nepal Army Hospital,Kathmandu,Chhauni
hospital_names,Other,Other,Kathmandu,Chhauni
hospital_names,Grande Hospital,Grande Hospital,Kathmandu,Dhapasi
hospital_names,Other,Other,Kathmandu,Dhapasi
hospital_names,Kist Medical College,Kist Medical College,Kathmandu,Gwarko
hospital_names,Other,Other,Kathmandu,Gwarko
hospital_names,Nepal Apanga Sangha Orthopedic Hospital,Nepal Apanga Sangha Orthopedic Hospital,Kathmandu,Jorpati
hospital_names,Nepal Medical College,Nepal Medical College,Kathmandu,Jorpati
hospital_names,Shankarapur Hospital,Shankarapur Hospital,Kathmandu,Jorpati
hospital_names,Other,Other,Kathmandu,Jorpati
hospital_names,Sahid Memorial Hospital,Sahid Memorial Hospital,Kathmandu,Kalanki
hospital_names,Other,Other,Kathmandu,Kalanki
hospital_names,Jyoti Hospital,Jyoti Hospital,Kathmandu,Kalimati
hospital_names,Other,Other,Kathmandu,Kalimati
hospital_names,Bir Hospital,Bir Hospital,Kathmandu,Kathmandu
hospital_names,Other,Other,Kathmandu,Kathmandu
hospital_names,Kritipur Hospital (NGO),Kritipur Hospital (NGO),Kathmandu,Kirtipur
hospital_names,Other,Other,Kathmandu,Kirtipur
hospital_names,Nepal Prahari Hospital,Nepal Prahari Hospital,Kathmandu,Maharajgunj
hospital_names,Teaching Hospital (Tribhuvan University),Teaching Hospital (Tribhuvan University),Kathmandu,Maharajgunj
hospital_names,Other,Other,Kathmandu,Maharajgunj
